-------------------------------------------
Model:RAYL_320_80_32000_8000.disp
Azimuthal anisotropy at a point:   35.000 -135.000
 f (mHz) c(PREM) mag (%) az(deg) U(PREM) mag (%) az(deg)
   4.000   4.918   0.647  86.757   3.578   1.234 108.226
   4.364   4.769   0.686  90.908   3.568   1.354 108.857
   4.727   4.650   0.739  94.205   3.577   1.531 109.015
   5.091   4.555   0.806  96.821   3.594   1.778 108.770
   5.455   4.477   0.889  98.877   3.612   2.111 108.249
   5.818   4.412   0.988 100.459   3.630   2.440 107.854
   6.182   4.358   1.095 101.656   3.646   2.696 107.702
   6.545   4.313   1.202 102.571   3.660   2.855 107.781
   6.909   4.274   1.303 103.294   3.674   2.894 108.123
   7.273   4.240   1.390 103.900   3.685   2.799 108.801
   7.636   4.211   1.461 104.430   3.696   2.679 109.443
   8.000   4.185   1.519 104.892   3.706   2.578 109.817
   8.364   4.163   1.568 105.281   3.716   2.507 109.806
   8.727   4.143   1.609 105.590   3.725   2.477 109.299
   9.091   4.125   1.648 105.804   3.733   2.501 108.233
   9.455   4.109   1.685 105.910   3.741   2.594 106.649
   9.818   4.095   1.725 105.906   3.749   2.704 105.095
  10.182   4.082   1.765 105.816   3.756   2.797 103.786
  10.545   4.070   1.804 105.665   3.763   2.868 102.710
  10.909   4.060   1.843 105.474   3.770   2.909 101.860
  11.273   4.050   1.879 105.262   3.776   2.914 101.236
  11.636   4.042   1.913 105.048   3.782   2.877 100.849
  12.000   4.034   1.942 104.847   3.788   2.794 100.730
  12.364   4.026   1.966 104.671   3.794   2.674 100.827
  12.727   4.020   1.985 104.519   3.799   2.558 100.881
  13.091   4.014   2.000 104.386   3.804   2.452 100.854
  13.455   4.008   2.011 104.264   3.808   2.358 100.727
  13.818   4.003   2.019 104.149   3.812   2.278 100.474
  14.182   3.998   2.025 104.034   3.816   2.216 100.078
  14.545   3.994   2.029 103.915   3.820   2.176  99.522
  14.909   3.990   2.031 103.787   3.823   2.160  98.804
  15.273   3.986   2.034 103.645   3.826   2.171  97.936
  15.636   3.982   2.037 103.486   3.828   2.204  96.996
  16.000   3.979   2.039 103.310   3.831   2.228  96.143
  16.364   3.976   2.042 103.121   3.833   2.240  95.377
  16.727   3.973   2.045 102.924   3.834   2.237  94.696
  17.091   3.970   2.047 102.722   3.836   2.219  94.094
  17.455   3.967   2.048 102.520   3.837   2.184  93.568
  17.818   3.965   2.048 102.319   3.838   2.129  93.120
  18.182   3.962   2.047 102.124   3.839   2.054  92.751
  18.545   3.960   2.044 101.939   3.839   1.956  92.467
  18.909   3.958   2.039 101.766   3.839   1.834  92.282
  19.273   3.955   2.032 101.608   3.839   1.687  92.216
  19.636   3.953   2.023 101.467   3.839   1.542  92.182
  20.000   3.951   2.011 101.342   3.839   1.411  92.120
  20.364   3.949   1.998 101.229   3.838   1.297  92.023
  20.727   3.948   1.983 101.125   3.837   1.202  91.882
  21.091   3.946   1.968 101.029   3.836   1.127  91.688
  21.455   3.944   1.952 100.938   3.835   1.073  91.438
  21.818   3.942   1.935 100.849   3.834   1.043  91.137
  22.182   3.941   1.919 100.761   3.832   1.038  90.800
  22.545   3.939   1.904 100.671   3.831   1.060  90.446
  22.909   3.937   1.889 100.575   3.829   1.110  90.104
  23.273   3.936   1.876 100.473   3.827   1.190  89.794
  23.636   3.934   1.865 100.362   3.825   1.300  89.532
  24.000   3.932   1.855 100.240   3.822   1.409  89.314
  24.364   3.931   1.848 100.110   3.820   1.509  89.126
  24.727   3.929   1.842  99.972   3.818   1.598  88.958
  25.091   3.927   1.837  99.828   3.815   1.676  88.803
  25.455   3.926   1.833  99.680   3.812   1.740  88.655
  25.818   3.924   1.830  99.528   3.809   1.792  88.510
  26.182   3.923   1.828  99.375   3.806   1.829  88.363
  26.545   3.921   1.827  99.221   3.803   1.851  88.210
  26.909   3.920   1.825  99.068   3.800   1.857  88.047
  27.273   3.918   1.824  98.916   3.796   1.846  87.867
  27.636   3.916   1.822  98.768   3.793   1.817  87.665
  28.000   3.915   1.820  98.623   3.789   1.770  87.432
  28.364   3.913   1.817  98.484   3.785   1.706  87.156
  28.727   3.911   1.814  98.348   3.781   1.645  86.825
  29.091   3.910   1.809  98.217   3.777   1.592  86.432
  29.455   3.908   1.805  98.087   3.773   1.546  85.975
  29.818   3.906   1.799  97.959   3.769   1.508  85.455
  30.182   3.905   1.794  97.830   3.764   1.479  84.874
  30.545   3.903   1.788  97.700   3.760   1.459  84.236
  30.909   3.901   1.782  97.568   3.755   1.449  83.552
  31.273   3.900   1.776  97.432   3.750   1.449  82.833
  31.636   3.898   1.770  97.292   3.745   1.460  82.094
  32.000   3.896   1.764  97.146   3.740   1.483  81.350
  32.364   3.894   1.758  96.993   3.735   1.517  80.620
  32.727   3.892   1.752  96.832   3.730   1.564  79.917
  33.091   3.891   1.747  96.662   3.725   1.621  79.262
