|6.6.6
dunite_hp02_1.tab                                                                                   
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10.0000        800.000        3241.98        8.07689        4.66644     
  1525.05        800.000        3246.38        8.08846        4.67285     
  3040.10        800.000        3250.93        8.10188        4.67909     
  4555.15        800.000        3255.51        8.11527        4.68532     
  6070.20        800.000        3260.06        8.12860        4.69151     
  7585.25        800.000        3264.67        8.14211        4.69778     
  9100.30        800.000        3270.07        8.15559        4.70459     
  10615.4        800.000        3281.45        8.19607        4.72985     
  12130.4        800.000        3285.64        8.20839        4.73517     
  13645.5        800.000        3289.83        8.22072        4.74049     
  15160.5        800.000        3293.99        8.23301        4.74580     
  16675.6        800.000        3298.14        8.24528        4.75111     
  18190.6        800.000        3302.82        8.25944        4.75742     
  19705.7        800.000        3307.02        8.27206        4.76293     
  21220.7        800.000        3311.18        8.28455        4.76837     
  22735.8        800.000        3315.34        8.29707        4.77384     
  24250.8        800.000        3319.51        8.30969        4.77938     
  25765.9        800.000        3323.55        8.32169        4.78459     
  27280.9        800.000        3327.66        8.33410        4.79003     
  28796.0        800.000        3331.72        8.34629        4.79536     
  30311.0        800.000        3335.76        8.35844        4.80067     
  31826.1        800.000        3339.82        8.37076        4.80607     
  33341.1        800.000        3343.82        8.38275        4.81132     
  34856.2        800.000        3347.79        8.39471        4.81656     
  36371.2        800.000        3351.76        8.40665        4.82179     
  37886.3        800.000        3355.70        8.41854        4.82700     
  39401.3        800.000        3359.63        8.43037        4.83218     
  40916.4        800.000        3363.54        8.44220        4.83737     
  42431.4        800.000        3367.46        8.45410        4.84261     
  43946.5        800.000        3371.34        8.46584        4.84776     
  45461.5        800.000        3375.21        8.47755        4.85291     
  46976.6        800.000        3379.07        8.48925        4.85806     
  48491.6        800.000        3382.91        8.50093        4.86320     
  50006.7        800.000        3386.75        8.51259        4.86834     
  51521.7        800.000        3390.56        8.52416        4.87344     
  53036.8        800.000        3394.36        8.53576        4.87855     
  54551.8        800.000        3398.15        8.54733        4.88367     
  56066.9        800.000        3401.93        8.55886        4.88876     
  57581.9        800.000        3405.71        8.57032        4.89387     
  59097.0        800.000        3409.46        8.58181        4.89897     
  60612.0        800.000        3413.20        8.59329        4.90405     
  62127.1        800.000        3416.93        8.60472        4.90912     
  63642.1        800.000        3420.65        8.61612        4.91417     
  65157.2        800.000        3424.36        8.62756        4.91925     
  66672.2        800.000        3428.05        8.63891        4.92428     
  68187.3        800.000        3431.73        8.65025        4.92933     
  69702.3        800.000        3435.39        8.66155        4.93435     
  71217.4        800.000        3439.05        8.67284        4.93936     
  72732.4        800.000        3442.69        8.68410        4.94437     
  74247.5        800.000        3446.32        8.69533        4.94938     
  75762.5        800.000        3449.94        8.70655        4.95438     
  77277.6        800.000        3453.55        8.71773        4.95936     
  78792.6        800.000        3457.15        8.72890        4.96434     
  80307.7        800.000        3460.73        8.74004        4.96931     
  81822.7        800.000        3464.31        8.75116        4.97428     
  83337.8        800.000        3467.87        8.76227        4.97925     
