|6.6.6
dunite_hp02_2.tab                                                                                   
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          21
P(bar)         T(K)           Opx(HP)        Pl(h)          O(HP)          di             ru             sph            abL            diL            enL            anL            Sp(JR)         geik           ne             jd             Gt(HP)         ilm            ilm_nol        stv            ab            
  10.0000        800.000        9.27237        1.44449        89.1255       0.149826       0.779207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        9.29177        1.40750        89.1197       0.173281       0.779691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        9.31119        1.37056        89.1137       0.196738       0.780250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        9.33604        1.32505        89.1052       0.225932       0.780778E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        800.000        9.35983        1.28115        89.0971       0.254098       0.781301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        800.000        9.39123        1.22718        89.0698       0.289012       0.781835E-002            NaN            NaN            NaN            NaN            NaN  0.150127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9100.30        800.000        9.48990                 NaN   88.9681       0.391981       0.782563E-002            NaN            NaN            NaN            NaN            NaN  0.768375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN   1.06540     
  10615.4        800.000        10.1807                 NaN   88.6989       0.392835       0.784718E-002            NaN            NaN            NaN            NaN            NaN  0.726434E-001            NaN            NaN  0.647081                 NaN            NaN            NaN            NaN            NaN
  12130.4        800.000        10.1786                 NaN   88.7010       0.392831       0.785155E-002            NaN            NaN            NaN            NaN            NaN  0.726783E-001            NaN            NaN  0.647113                 NaN            NaN            NaN            NaN            NaN
  13645.5        800.000        10.1762                 NaN   88.7020       0.392828       0.785590E-002            NaN            NaN            NaN            NaN            NaN  0.739925E-001            NaN            NaN  0.647145                 NaN            NaN            NaN            NaN            NaN
