|6.6.6
dunite_hpha02_1.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10.0000        800.000        3241.98        8.08548        4.68895     
  1525.05        800.000        3246.38        8.09833        4.69529     
  3040.10        800.000        3250.93        8.11278        4.70147     
  4555.15        800.000        3255.51        8.12731        4.70773     
  6070.20        800.000        3260.06        8.14172        4.71391     
  7585.25        800.000        3264.67        8.15605        4.72016     
  9100.30        800.000        3270.08        8.17150        4.72769     
  10615.4        800.000        3281.45        8.21014        4.74967     
  12130.4        800.000        3285.64        8.22303        4.75460     
  13645.5        800.000        3289.83        8.23593        4.75955     
  15160.5        800.000        3293.99        8.24873        4.76447     
  16675.6        800.000        3298.14        8.26153        4.76940     
  18190.6        800.000        3302.82        8.27609        4.77512     
  19705.7        800.000        3307.02        8.28890        4.78010     
  21220.7        800.000        3311.18        8.30169        4.78508     
  22735.8        800.000        3315.33        8.31443        4.79006     
  24250.8        800.000        3319.51        8.32719        4.79506     
  25765.9        800.000        3323.54        8.33969        4.79992     
  27280.9        800.000        3327.67        8.35234        4.80488     
  28796.0        800.000        3331.72        8.36486        4.80978     
  30311.0        800.000        3335.76        8.37735        4.81468     
  31826.1        800.000        3339.81        8.38985        4.81960     
  33341.1        800.000        3343.81        8.40224        4.82446     
  34856.2        800.000        3347.79        8.41460        4.82931     
  36371.2        800.000        3351.76        8.42692        4.83416     
  37886.3        800.000        3355.70        8.43920        4.83901     
  39401.3        800.000        3359.63        8.45145        4.84382     
  40916.4        800.000        3363.54        8.46366        4.84864     
  42431.4        800.000        3367.47        8.47586        4.85349     
  43946.5        800.000        3371.35        8.48801        4.85829     
  45461.5        800.000        3375.21        8.50011        4.86308     
  46976.6        800.000        3379.07        8.51219        4.86786     
  48491.6        800.000        3382.91        8.52423        4.87264     
  50006.7        800.000        3386.75        8.53624        4.87741     
  51521.7        800.000        3390.56        8.54824        4.88220     
  53036.8        800.000        3394.36        8.56020        4.88697     
  54551.8        800.000        3398.15        8.57212        4.89172     
  56066.9        800.000        3401.93        8.58401        4.89647     
  57581.9        800.000        3405.71        8.59581        4.90120     
  59097.0        800.000        3409.46        8.60765        4.90594     
  60612.0        800.000        3413.21        8.61945        4.91068     
  62127.1        800.000        3416.93        8.63123        4.91539     
  63642.1        800.000        3420.65        8.64300        4.92014     
  65157.2        800.000        3424.36        8.65473        4.92486     
  66672.2        800.000        3428.05        8.66641        4.92956     
  68187.3        800.000        3431.72        8.67804        4.93423     
  69702.3        800.000        3435.40        8.68972        4.93897     
  71217.4        800.000        3439.05        8.70134        4.94367     
  72732.4        800.000        3442.70        8.71291        4.94834     
  74247.5        800.000        3446.33        8.72446        4.95302     
  75762.5        800.000        3449.95        8.73599        4.95769     
  77277.6        800.000        3453.56        8.74748        4.96235     
  78792.6        800.000        3457.15        8.75895        4.96700     
  80307.7        800.000        3460.74        8.77040        4.97165     
  81822.7        800.000        3464.32        8.78182        4.97631     
  83337.8        800.000        3467.88        8.79321        4.98095     
  84852.8        800.000        3471.43        8.80457        4.98556     
  86367.9        800.000        3474.97        8.81591        4.99020     
  87882.9        800.000        3478.51        8.82723        4.99483     
  89398.0        800.000        3482.03        8.83852        4.99945     
  90913.0        800.000        3485.53        8.84977        5.00404     
  92428.1        800.000        3489.03        8.86101        5.00864     
  93943.1        800.000        3492.52        8.87223        5.01323     
  95458.2        800.000        3496.00        8.88342        5.01782     
  96973.2        800.000        3499.47        8.89458        5.02240     
  98488.3        800.000        3502.93        8.90572        5.02699     
  100003.        800.000        3506.38        8.91684        5.03157     
  101518.        800.000        3509.81        8.92793        5.03613     
  103033.        800.000        3513.24        8.93900        5.04069     
  104548.        800.000        3516.65        8.95004        5.04524     
  106064.        800.000        3520.06        8.96107        5.04980     
  107579.        800.000        3523.46        8.97206        5.05433     
  109094.        800.000        3526.84        8.98303        5.05886     
  110609.        800.000        3530.22        8.99399        5.06340     
  112124.        800.000        3533.59        9.00492        5.06793     
  113639.        800.000        3536.95        9.01582        5.07245     
  115154.        800.000        3540.30        9.02670        5.07695     
  116669.        800.000        3543.64        9.03758        5.08148     
  118184.        800.000        3546.97        9.04844        5.08600     
  119699.        800.000        3550.29        9.05927        5.09051     
  121214.        800.000        3553.60        9.07006        5.09500     
  122729.        800.000        3556.90        9.08083        5.09949     
  124244.        800.000        3560.20        9.09158        5.10396     
  125759.        800.000        3563.48        9.10231        5.10843     
  127274.        800.000        3566.75        9.11301        5.11289     
  128789.        800.000        3570.02        9.12369        5.11736     
  130304.        800.000        3573.27        9.13436        5.12181     
  131819.        800.000        3576.52        9.14500        5.12626     
  133334.        800.000        3579.76        9.15562        5.13071     
  134849.        800.000        3582.99        9.16621        5.13514     
  136365.        800.000        3605.06        9.22714        5.18740     
  137880.        800.000        3608.25        9.23719        5.19180     
  139395.        800.000        3611.43        9.24722        5.19619     
  140910.        800.000        3614.60        9.25724        5.20058     
  142425.        800.000        3617.75        9.26721        5.20494     
  143940.        800.000        3620.91        9.27721        5.20934     
  145455.        800.000        3624.06        9.28717        5.21371     
  146970.        800.000        3627.20        9.29713        5.21808     
  148485.        800.000        3630.33        9.30707        5.22245     
  150000.        800.000        3633.45        9.31700        5.22681     
  10.0000        814.141        3240.25        8.07899        4.68384     
  1525.05        814.141        3244.66        8.09186        4.69019     
  3040.10        814.141        3249.22        8.10633        4.69639     
  4555.15        814.141        3253.77        8.12074        4.70255     
  6070.20        814.141        3258.32        8.13515        4.70873     
  7585.25        814.141        3262.91        8.14960        4.71498     
  9100.30        814.141        3268.38        8.16517        4.72265     
  10615.4        814.141        3279.76        8.20386        4.74469     
  12130.4        814.141        3283.96        8.21677        4.74964     
  13645.5        814.141        3288.15        8.22966        4.75458     
  15160.5        814.141        3292.32        8.24251        4.75953     
  16675.6        814.141        3296.47        8.25529        4.76445     
  18190.6        814.141        3301.12        8.26972        4.77011     
  19705.7        814.141        3305.36        8.28261        4.77514     
  21220.7        814.141        3309.53        8.29542        4.78014     
  22735.8        814.141        3313.72        8.30820        4.78515     
  24250.8        814.141        3317.74        8.32073        4.79000     
  25765.9        814.141        3321.97        8.33354        4.79505     
  27280.9        814.141        3326.04        8.34611        4.79996     
  28796.0        814.141        3330.10        8.35865        4.80487     
  30311.0        814.141        3334.18        8.37120        4.80981     
  31826.1        814.141        3338.21        8.38366        4.81470     
  33341.1        814.141        3342.22        8.39608        4.81958     
  34856.2        814.141        3346.20        8.40844        4.82443     
  36371.2        814.141        3350.18        8.42079        4.82929     
  37886.3        814.141        3354.12        8.43307        4.83414     
  39401.3        814.141        3358.07        8.44535        4.83899     
  40916.4        814.141        3361.99        8.45758        4.84383     
  42431.4        814.141        3365.91        8.46979        4.84866     
  43946.5        814.141        3369.79        8.48194        4.85346     
  45461.5        814.141        3373.67        8.49406        4.85826     
  46976.6        814.141        3377.54        8.50615        4.86306     
  48491.6        814.141        3381.38        8.51821        4.86784     
  50006.7        814.141        3385.22        8.53024        4.87264     
  51521.7        814.141        3389.04        8.54224        4.87741     
  53036.8        814.141        3392.85        8.55422        4.88220     
  54551.8        814.141        3396.65        8.56614        4.88696     
  56066.9        814.141        3400.43        8.57805        4.89171     
  57581.9        814.141        3404.20        8.58994        4.89648     
  59097.0        814.141        3407.99        8.60171        4.90121     
  60612.0        814.141        3411.72        8.61353        4.90594     
  62127.1        814.141        3415.46        8.62532        4.91067     
  63642.1        814.141        3419.18        8.63707        4.91540     
  65157.2        814.141        3422.88        8.64882        4.92014     
  66672.2        814.141        3426.58        8.66051        4.92484     
  68187.3        814.141        3430.27        8.67218        4.92954     
  69702.3        814.141        3433.94        8.68384        4.93425     
  71217.4        814.141        3437.60        8.69547        4.93897     
  72732.4        814.141        3441.25        8.70705        4.94364     
  74247.5        814.141        3444.89        8.71865        4.94836     
  75762.5        814.141        3448.52        8.73018        4.95304     
  77277.6        814.141        3452.13        8.74169        4.95770     
  78792.6        814.141        3455.73        8.75317        4.96236     
  80307.7        814.141        3459.32        8.76463        4.96702     
  81822.7        814.141        3462.90        8.77606        4.97168     
  83337.8        814.141        3466.47        8.78746        4.97633     
  84852.8        814.141        3470.03        8.79883        4.98096     
  86367.9        814.141        3473.58        8.81019        4.98560     
  87882.9        814.141        3477.11        8.82151        4.99022     
  89398.0        814.141        3480.63        8.83281        4.99483     
  90913.0        814.141        3484.15        8.84408        4.99945     
