|6.6.6
dunite_hpha02_2.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          25
P(bar)         T(K)           Opx(HP)        Pl(h)          O(HP)          di             ru             sph            abL            diL            enL            anL            foGL           Sp(JR)         usp            faL            faGL           jd             Gt(HP)         ilm            ne             geik           ilm_nol        stv            ab            
  10.0000        800.000        9.27237        1.44449        89.1255       0.149826       0.779207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        9.29177        1.40750        89.1197       0.173281       0.779691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        9.31119        1.37056        89.1137       0.196738       0.780250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        9.33645        1.32439        89.1050       0.226372       0.780779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        800.000        9.35983        1.28115        89.0971       0.254098       0.781301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        800.000        9.39123        1.22718        89.0698       0.289012       0.781835E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.150127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9100.30        800.000        9.48979                 NaN   88.9682       0.391981       0.782563E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.768375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   1.06540     
  10615.4        800.000        10.1807                 NaN   88.6989       0.392835       0.784718E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.726391E-001            NaN            NaN            NaN  0.647081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12130.4        800.000        10.1788                 NaN   88.7007       0.392831       0.785155E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.726740E-001            NaN            NaN            NaN  0.647112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13645.5        800.000        10.1762                 NaN   88.7020       0.392828       0.785590E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.739925E-001            NaN            NaN            NaN  0.647145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15160.5        800.000        10.1743                 NaN   88.7024       0.392824       0.786021E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.754311E-001            NaN            NaN            NaN  0.647175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16675.6        800.000        10.1721                 NaN   88.7026       0.392820       0.786449E-002            NaN            NaN            NaN            NaN            NaN            NaN  0.774560E-001            NaN            NaN            NaN  0.647207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18190.6        800.000        9.97924                 NaN   88.8031       0.321787       0.787004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647344       0.240642                 NaN            NaN            NaN            NaN            NaN            NaN
  19705.7        800.000        9.94903                 NaN   88.8070       0.311639       0.787445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647390       0.277018                 NaN            NaN            NaN            NaN            NaN            NaN
  21220.7        800.000        9.92750                 NaN   88.8106       0.305406       0.787878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647431       0.301230                 NaN            NaN            NaN            NaN            NaN            NaN
  22735.8        800.000        9.90092                 NaN   88.8143       0.296915       0.788310E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647474       0.332544                 NaN            NaN            NaN            NaN            NaN            NaN
  24250.8        800.000        9.86340                 NaN   88.8188       0.283308       0.788748E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647524       0.379117                 NaN            NaN            NaN            NaN            NaN            NaN
  25765.9        800.000        9.86858                 NaN   88.8200       0.285596       0.789152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647548       0.370389                 NaN            NaN            NaN            NaN            NaN            NaN
  27280.9        800.000        9.83825                 NaN   88.8239       0.276352       0.789577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647592       0.406032                 NaN            NaN            NaN            NaN            NaN            NaN
  28796.0        800.000        9.82495                 NaN   88.8265       0.272494       0.789988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647626       0.420579                 NaN            NaN            NaN            NaN            NaN            NaN
  30311.0        800.000        9.81167                 NaN   88.8290       0.268636       0.790396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647660       0.435133                 NaN            NaN            NaN            NaN            NaN            NaN
  31826.1        800.000        9.79118                 NaN   88.8321       0.261166       0.790806E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647698       0.459951                 NaN            NaN            NaN            NaN            NaN            NaN
  33341.1        800.000        9.78186                 NaN   88.8343       0.259269       0.791205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.647728       0.468955                 NaN            NaN            NaN            NaN            NaN            NaN
