|6.6.6
dunite_stx11_1.tab                                                                                  
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           3
rho,kg/m3      vp,km/s        vs,km/s       
  3230.17        7.25330        3.53719     
  3255.32        8.10471        4.69965     
  3259.96        8.11952        4.70494     
  3264.54        8.13422        4.71011     
  3276.33        8.17608        4.73292     
  3282.02        8.19357        4.74046     
  3286.17        8.20719        4.74481     
  3290.88        8.22266        4.74952     
  3295.09        8.23652        4.75385     
  3299.20        8.24994        4.75808     
  3303.49        8.26423        4.76248     
  3307.57        8.27748        4.76665     
  3311.74        8.29120        4.77093     
  3315.78        8.30428        4.77505     
  3319.79        8.31729        4.77915     
  3323.86        8.33054        4.78329     
  3327.84        8.34340        4.78734     
  3331.85        8.35637        4.79140     
  3335.80        8.36908        4.79539     
  3339.73        8.38172        4.79937     
  3343.67        8.39445        4.80335     
  3347.56        8.40695        4.80727     
  3351.47        8.41953        4.81124     
  3355.33        8.43190        4.81512     
  3359.17        8.44420        4.81898     
  3363.01        8.45646        4.82282     
  3366.82        8.46864        4.82663     
  3370.63        8.48077        4.83043     
  3374.41        8.49282        4.83420     
  3378.18        8.50481        4.83795     
  3381.94        8.51675        4.84169     
  3385.67        8.52862        4.84539     
  3389.40        8.54044        4.84908     
  3393.11        8.55219        4.85275     
  3396.80        8.56389        4.85639     
  3400.48        8.57552        4.86002     
  3404.15        8.58711        4.86362     
  3407.81        8.59870        4.86722     
  3411.45        8.61018        4.87079     
  3415.08        8.62160        4.87434     
  3418.69        8.63298        4.87789     
  3422.29        8.64430        4.88140     
  3425.87        8.65557        4.88489     
  3429.45        8.66680        4.88837     
  3433.11        8.67834        4.89220     
  3443.71        8.71645        4.92221     
  3447.25        8.72740        4.92574     
  3450.77        8.73824        4.92923     
  3454.34        8.74922        4.93281     
  3457.83        8.75998        4.93626     
  3461.36        8.77085        4.93980     
  3464.83        8.78153        4.94321     
  3468.29        8.79215        4.94661     
  3471.80        8.80299        4.95020     
  3475.23        8.81353        4.95357     
  3478.70        8.82418        4.95701     
  3482.11        8.83464        4.96034     
  3485.51        8.84506        4.96366     
  3488.94        8.85558        4.96707     
  3492.32        8.86593        4.97035     
  3495.73        8.87634        4.97369     
  3499.09        8.88660        4.97695     
  3502.44        8.89682        4.98018     
  3505.81        8.90717        4.98353     
  3509.13        8.91729        4.98672     
  3514.27        8.93580        4.99525     
  3520.32        8.95840        5.00641     
  3524.80        8.97362        5.01293     
  3528.08        8.98359        5.01606     
  3537.64        9.02153        5.03722     
  3550.78        9.07330        5.06773     
  3553.99        9.08307        5.07076     
  3557.19        9.09280        5.07378     
  3576.34        9.16752        5.11984     
  3582.27        9.18828        5.13021     
  3723.26        9.77290        5.52305     
  3731.39        9.80580        5.54185     
  3734.19        9.81470        5.54451     
  3737.00        9.82367        5.54721     
  3739.79        9.83251        5.54985     
  3744.35        9.85003        5.55782     
  3747.63        9.86119        5.56190     
  3753.88        9.88599        5.57447     
  3768.32        9.94325        5.60788     
  3774.43        9.96459        5.61868     
  3782.33        9.99298        5.63403     
  3815.30        10.1118        5.70820     
  3834.90        10.1814        5.75115     
  3853.07        10.2437        5.78970     
  3875.18        10.3183        5.83677     
  3877.99        10.3270        5.83986     
  3880.62        10.3348        5.84227     
  3883.27        10.3427        5.84475     
  3885.84        10.3503        5.84697     
  3888.51        10.3583        5.84957     
  3891.06        10.3658        5.85170     
  3893.67        10.3735        5.85410     
  3896.23        10.3810        5.85630     
  3898.78        10.3884        5.85845     
  3901.32        10.3959        5.86060     
  3228.73        7.24769        3.53428     
  3253.91        8.09671        4.69445     
  3258.60        8.11172        4.69987     
  3263.22        8.12649        4.70512     
  3274.95        8.16827        4.72780     
  3280.54        8.18549        4.73517     
  3284.72        8.19924        4.73949     
  3289.38        8.21456        4.74419     
  3293.66        8.22867        4.74857     
  3297.78        8.24214        4.75281     
  3302.08        8.25647        4.75723     
  3306.16        8.26976        4.76142     
  3310.35        8.28352        4.76571     
  3314.39        8.29665        4.76985     
  3318.42        8.30970        4.77396     
  3322.49        8.32299        4.77812     
  3326.48        8.33588        4.78218     
  3330.50        8.34890        4.78625     
  3334.45        8.36164        4.79026     
  3338.39        8.37432        4.79424     
  3342.34        8.38708        4.79824     
  3346.24        8.39962        4.80218     
  3350.15        8.41223        4.80616     
  3354.02        8.42463        4.81005     
  3357.87        8.43696        4.81392     
  3361.72        8.44926        4.81777     
  3365.54        8.46147        4.82160     
  3369.35        8.47364        4.82541     
  3373.14        8.48572        4.82919     
  3376.91        8.49773        4.83295     
  3380.68        8.50971        4.83670     
  3384.42        8.52161        4.84042     
  3388.16        8.53345        4.84412     
  3391.87        8.54524        4.84779     
  3395.57        8.55696        4.85145     
  3399.26        8.56863        4.85508     
  3402.93        8.58024        4.85870     
  3406.60        8.59186        4.86231     
  3410.25        8.60336        4.86589     
  3413.88        8.61481        4.86945     
  3417.50        8.62622        4.87300     
  3421.10        8.63757        4.87653     
  3424.69        8.64886        4.88003     
  3428.27        8.66012        4.88352     
  3431.84        8.67131        4.88699     
  3442.46        8.70989        4.91730     
  3446.04        8.72095        4.92093     
  3449.56        8.73182        4.92442     
  3453.13        8.74282        4.92802     
  3456.63        8.75360        4.93148     
  3460.17        8.76449        4.93502     
  3463.64        8.77519        4.93845     
  3467.11        8.78584        4.94185     
  3470.62        8.79669        4.94546     
  3474.06        8.80726        4.94883     
  3477.53        8.81792        4.95229     
  3480.95        8.82840        4.95563     
  3484.35        8.83885        4.95895     
  3487.79        8.84939        4.96236     
  3491.17        8.85975        4.96566     
  3494.58        8.87018        4.96901     
  3497.95        8.88047        4.97227     
  3501.30        8.89071        4.97552     
  3504.68        8.90107        4.97887     
  3508.01        8.91121        4.98207     
  3511.33        8.92134        4.98527     
  3520.40        8.95759        5.00516     
  3523.69        8.96761        5.00831     
  3526.96        8.97759        5.01144     
  3536.53        9.01556        5.03261     
  3549.67        9.06736        5.06314     
  3552.89        9.07714        5.06618     
  3556.09        9.08690        5.06921     
  3575.24        9.16164        5.11529     
  3582.28        9.18668        5.12854     
  3663.70        9.51130        5.34697     
  3730.17        9.79976        5.53723     
  3732.98        9.80868        5.53990     
  3735.80        9.81766        5.54261     
  3738.59        9.82652        5.54526     
  3741.37        9.83537        5.54789     
  3746.44        9.85524        5.55734     
  3752.70        9.88007        5.56994     
  3767.16        9.93740        5.60344     
  3773.28        9.95877        5.61427     
  3775.99        9.96729        5.61675     
  3814.18        10.1060        5.70379     
  3833.81        10.1757        5.74688     
  3852.01        10.2381        5.78558     
  3854.57        10.2456        5.78769     
  3876.86        10.3210        5.83548     
  3879.50        10.3289        5.83795     
  3882.16        10.3368        5.84045     
  3884.77        10.3446        5.84283     
  3887.29        10.3518        5.84479     
