|6.6.6
peridotite_hp02_1.tab                                                                               
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10.0000        800.000        3213.43        7.80498        4.46282     
  1525.05        800.000        3221.15        7.82329        4.47613     
  3040.10        800.000        3230.31        7.84518        4.49091     
  4555.15        800.000        3312.14        8.00042        4.61384     
  6070.20        800.000        3316.92        8.01430        4.61982     
  7585.25        800.000        3321.35        8.02685        4.62479     
  9100.30        800.000        3325.75        8.03928        4.62973     
  10615.4        800.000        3330.14        8.05172        4.63468     
  12130.4        800.000        3342.80        8.09236        4.65331     
  13645.5        800.000        3370.77        8.18663        4.69644     
  15160.5        800.000        3375.52        8.20118        4.70272     
  16675.6        800.000        3380.53        8.21702        4.70946     
  18190.6        800.000        3385.51        8.23282        4.71619     
  19705.7        800.000        3390.47        8.24859        4.72291     
  21220.7        800.000        3394.86        8.26172        4.72857     
  22735.8        800.000        3400.35        8.28018        4.73642     
  24250.8        800.000        3404.79        8.29368        4.74223     
  25765.9        800.000        3409.12        8.30674        4.74789     
  27280.9        800.000        3413.32        8.31917        4.75330     
  28796.0        800.000        3417.58        8.33196        4.75886     
  30311.0        800.000        3421.82        8.34471        4.76441     
  31826.1        800.000        3426.21        8.35824        4.77027     
  33341.1        800.000        3430.33        8.37050        4.77563     
  34856.2        800.000        3434.41        8.38262        4.78091     
  36371.2        800.000        3438.47        8.39466        4.78622     
  37886.3        800.000        3442.45        8.40635        4.79137     
  39401.3        800.000        3446.45        8.41823        4.79659     
  40916.4        800.000        3450.43        8.43003        4.80178     
  42431.4        800.000        3454.48        8.44220        4.80712     
  43946.5        800.000        3458.40        8.45379        4.81225     
  45461.5        800.000        3462.30        8.46534        4.81735     
  46976.6        800.000        3466.20        8.47689        4.82247     
  48491.6        800.000        3470.08        8.48843        4.82760     
  50006.7        800.000        3473.96        8.49995        4.83271     
  51521.7        800.000        3477.81        8.51138        4.83784     
  53036.8        800.000        3481.63        8.52274        4.84297     
  54551.8        800.000        3485.45        8.53410        4.84801     
  56066.9        800.000        3489.26        8.54544        4.85309     
  57581.9        800.000        3493.04        8.55671        4.85817     
  59097.0        800.000        3496.85        8.56812        4.86330     
  60612.0        800.000        3500.61        8.57933        4.86833     
  62127.1        800.000        3504.35        8.59053        4.87337     
  63642.1        800.000        3508.09        8.60171        4.87842     
  65157.2        800.000        3511.82        8.61288        4.88347     
  66672.2        800.000        3515.53        8.62400        4.88849     
  68187.3        800.000        3519.23        8.63510        4.89350     
  69702.3        800.000        3522.92        8.64619        4.89852     
  71217.4        800.000        3526.61        8.65729        4.90358     
  72732.4        800.000        3530.28        8.66836        4.90863     
  74247.5        800.000        3533.94        8.67937        4.91362     
  75762.5        800.000        3537.56        8.69027        4.91849     
  77277.6        800.000        3541.22        8.70134        4.92368     
  78792.6        800.000        3544.84        8.71228        4.92868     
  80307.7        800.000        3548.45        8.72321        4.93368     
  81822.7        800.000        3552.03        8.73403        4.93847     
  83337.8        800.000        3555.63        8.74495        4.94356     
  84852.8        800.000        3559.21        8.75583        4.94858     
  86367.9        800.000        3562.79        8.76668        4.95359     
  87882.9        800.000        3566.34        8.77749        4.95854     
  89398.0        800.000        3569.89        8.78829        4.96353     
  90913.0        800.000        3573.44        8.79908        4.96853     
  92428.1        800.000        3576.96        8.80984        4.97350     
  93943.1        800.000        3580.49        8.82059        4.97850     
  95458.2        800.000        3584.00        8.83131        4.98347     
  96973.2        800.000        3587.49        8.84199        4.98837     
  98488.3        800.000        3590.97        8.85263        4.99323     
  100003.        800.000        3594.44        8.86325        4.99809     
  101518.        800.000        3597.92        8.87391        5.00310     
  103033.        800.000        3601.38        8.88454        5.00810     
  104548.        800.000        3604.83        8.89514        5.01306     
  106064.        800.000        3608.26        8.90567        5.01788     
  107579.        800.000        3611.70        8.91626        5.02290     
  109094.        800.000        3615.12        8.92678        5.02781     
  110609.        800.000        3618.53        8.93729        5.03271     
  112124.        800.000        3621.93        8.94776        5.03757     
  113639.        800.000        3625.32        8.95823        5.04248     
  115154.        800.000        3628.71        8.96869        5.04738     
  116669.        800.000        3632.08        8.97912        5.05226     
  118184.        800.000        3635.45        8.98953        5.05714     
  119699.        800.000        3638.81        8.99993        5.06202     
  121214.        800.000        3642.16        9.01031        5.06693     
  122729.        800.000        3645.50        9.02067        5.07184     
  124244.        800.000        3648.82        9.03100        5.07667     
  125759.        800.000        3652.14        9.04130        5.08147     
  127274.        800.000        3655.45        9.05158        5.08627     
  128789.        800.000        3658.75        9.06184        5.09109     
  130304.        800.000        3662.04        9.07208        5.09590     
  131819.        800.000        3665.32        9.08232        5.10068     
  133334.        800.000        3668.60        9.09253        5.10547     
  134849.        800.000        3671.88        9.10275        5.11042     
  136365.        800.000        3704.83        9.28396        5.21494     
  137880.        800.000        3708.68        9.29768        5.22297     
  139395.        800.000        3712.59        9.31174        5.23135     
  140910.        800.000        3716.64        9.32663        5.24039     
  142425.        800.000        3720.38        9.33984        5.24807     
  143940.        800.000        3724.53        9.35530        5.25763     
  145455.        800.000        3728.46        9.36955        5.26619     
  146970.        800.000        3732.43        9.38413        5.27499     
  148485.        800.000        3736.43        9.39884        5.28387     
  150000.        800.000        3740.41        9.41353        5.29274     
  10.0000        814.141        3212.06        7.79914        4.45863     
  1525.05        814.141        3220.04        7.81784        4.47230     
  3040.10        814.141        3229.02        7.83945        4.48678     
  4555.15        814.141        3310.36        7.99318        4.60886     
  6070.20        814.141        3315.21        8.00731        4.61501     
  7585.25        814.141        3319.65        8.01984        4.62000     
  9100.30        814.141        3324.06        8.03228        4.62495     
  10615.4        814.141        3328.46        8.04479        4.62994     
  12130.4        814.141        3343.73        8.09428        4.65263     
  13645.5        814.141        3368.64        8.17830        4.69089     
  15160.5        814.141        3374.09        8.19613        4.69858     
  16675.6        814.141        3379.32        8.21305        4.70574     
  18190.6        814.141        3384.18        8.22822        4.71210     
  19705.7        814.141        3387.80        8.23756        4.71606     
  21220.7        814.141        3392.88        8.25392        4.72300     
  22735.8        814.141        3398.53        8.27314        4.73105     
  24250.8        814.141        3403.03        8.28689        4.73698     
  25765.9        814.141        3407.40        8.30009        4.74270     
  27280.9        814.141        3411.65        8.31279        4.74821     
  28796.0        814.141        3415.92        8.32558        4.75384     
  30311.0        814.141        3420.34        8.33918        4.75967     
  31826.1        814.141        3424.54        8.35174        4.76515     
  33341.1        814.141        3428.69        8.36415        4.77055     
  34856.2        814.141        3432.74        8.37611        4.77587     
  36371.2        814.141        3436.86        8.38843        4.78123     
  37886.3        814.141        3440.79        8.39989        4.78628     
  39401.3        814.141        3444.89        8.41219        4.79165     
  40916.4        814.141        3448.89        8.42408        4.79696     
  42431.4        814.141        3452.89        8.43602        4.80213     
  43946.5        814.141        3456.82        8.44761        4.80725     
  45461.5        814.141        3460.75        8.45928        4.81242     
  46976.6        814.141        3464.65        8.47084        4.81754     
  48491.6        814.141        3468.54        8.48239        4.82269     
  50006.7        814.141        3472.41        8.49384        4.82781     
  51521.7        814.141        3476.28        8.50535        4.83293     
  53036.8        814.141        3480.10        8.51669        4.83808     
  54551.8        814.141        3483.93        8.52810        4.84312     
  56066.9        814.141        3487.75        8.53947        4.84820     
  57581.9        814.141        3491.54        8.55076        4.85331     
  59097.0        814.141        3495.34        8.56209        4.85835     
  60612.0        814.141        3499.12        8.57339        4.86344     
  62127.1        814.141        3502.87        8.58460        4.86848     
  63642.1        814.141        3506.61        8.59579        4.87354     
  65157.2        814.141        3510.34        8.60694        4.87858     
  66672.2        814.141        3514.06        8.61808        4.88361     
  68187.3        814.141        3517.77        8.62921        4.88867     
  69702.3        814.141        3521.47        8.64031        4.89369     
  71217.4        814.141        3525.16        8.65141        4.89876     
  72732.4        814.141        3528.82        8.66244        4.90376     
  74247.5        814.141        3532.49        8.67348        4.90881     
  75762.5        814.141        3536.14        8.68449        4.91382     
  77277.6        814.141        3539.77        8.69545        4.91881     
  78792.6        814.141        3543.41        8.70643        4.92386     
  80307.7        814.141        3547.00        8.71728        4.92866     
  81822.7        814.141        3550.62        8.72822        4.93374     
  83337.8        814.141        3554.21        8.73909        4.93870     
  84852.8        814.141        3557.80        8.74999        4.94377     
  86367.9        814.141        3561.37        8.76083        4.94873     
  87882.9        814.141        3564.94        8.77166        4.95372     
  89398.0        814.141        3568.49        8.78247        4.95871     
  90913.0        814.141        3572.03        8.79325        4.96367     
  92428.1        814.141        3575.57        8.80402        4.96867     
  93943.1        814.141        3579.09        8.81477        4.97365     
  95458.2        814.141        3582.61        8.82549        4.97861     
  96973.2        814.141        3586.10        8.83617        4.98352     
  98488.3        814.141        3589.60        8.84684        4.98846     
  100003.        814.141        3593.07        8.85747        4.99332     
  101518.        814.141        3596.55        8.86813        4.99833     
  103033.        814.141        3600.02        8.87877        5.00332     
  104548.        814.141        3603.47        8.88937        5.00827     
  106064.        814.141        3606.91        8.89992        5.01314     
  107579.        814.141        3610.34        8.91045        5.01800     
  109094.        814.141        3613.77        8.92103        5.02302     
  110609.        814.141        3617.18        8.93151        5.02787     
  112124.        814.141        3620.58        8.94199        5.03273     
  113639.        814.141        3623.98        8.95247        5.03764     
  115154.        814.141        3627.37        8.96293        5.04256     
