|6.6.6
peridotite_hp02_2.tab                                                                               
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          16
P(bar)         T(K)           Opx(HP)        O(HP)          Cpx(HP)        ab             an             abh            abL            diL            anL            enL            Sp(HP)         ne             Gt(HP)         stv           
  10.0000        800.000        18.7595        63.4356        4.14182        1.26054        12.4026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        19.1121        63.2669        4.50096        1.18205        11.9380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        19.6058        63.0272        5.00167        1.06114        11.3042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        27.9836        54.7359        13.3771       0.485668E-001            NaN            NaN            NaN            NaN            NaN            NaN   3.85490                 NaN            NaN            NaN
  6070.20        800.000        28.0111        54.7011        13.4091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.87871                 NaN            NaN            NaN
  7585.25        800.000        28.0056        54.6768        13.4106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.90694                 NaN            NaN            NaN
  9100.30        800.000        28.0003        54.6584        13.4119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.92948                 NaN            NaN            NaN
  10615.4        800.000        27.9951        54.6370        13.4132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.95475                 NaN            NaN            NaN
  12130.4        800.000        25.0578        55.9110        12.7100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   2.92288                 NaN   3.39833                 NaN
  13645.5        800.000        16.5661        59.5077        10.7655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.1607                 NaN
  15160.5        800.000        16.4144        59.5159        10.6984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.3713                 NaN
  16675.6        800.000        16.1654        59.5288        10.6123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.6935                 NaN
  18190.6        800.000        15.9163        59.5415        10.5261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.0160                 NaN
  19705.7        800.000        15.6672        59.5540        10.4399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.3388                 NaN
  21220.7        800.000        15.5789        59.5574        10.4184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.4454                 NaN
  22735.8        800.000        15.1605        59.5791        10.2610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.9993                 NaN
  24250.8        800.000        15.0461        59.5838        10.2268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.1434                 NaN
  25765.9        800.000        14.9601        59.5869        10.1996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.2534                 NaN
  27280.9        800.000        14.9112        59.5878        10.1882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.3128                 NaN
  28796.0        800.000        14.8387        59.5901        10.1666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.4045                 NaN
  30311.0        800.000        14.7663        59.5923        10.1451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.4963                 NaN
  31826.1        800.000        14.6447        59.5973        10.1025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.6555                 NaN
  33341.1        800.000        14.5990        59.5979        10.0924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.7107                 NaN
  34856.2        800.000        14.5600        59.5982        10.0838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.7579                 NaN
  36371.2        800.000        14.5252        59.5983        10.0793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.7972                 NaN
  37886.3        800.000        14.5097        59.5975        10.0812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.8116                 NaN
  39401.3        800.000        14.4809        59.5971        10.0780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.8440                 NaN
  40916.4        800.000        14.4558        59.5966        10.0761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.8715                 NaN
  42431.4        800.000        14.4061        59.5977        10.0636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9327                 NaN
  43946.5        800.000        14.3904        59.5966        10.0662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9468                 NaN
  45461.5        800.000        14.3758        59.5955        10.0686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9601                 NaN
  46976.6        800.000        14.3601        59.5945        10.0708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9746                 NaN
  48491.6        800.000        14.3436        59.5935        10.0728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9901                 NaN
  50006.7        800.000        14.3272        59.5926        10.0747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0055                 NaN
  51521.7        800.000        14.3193        59.5912        10.0732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0162                 NaN
  53036.8        800.000        14.3204        59.5896        10.0682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0219                 NaN
  54551.8        800.000        14.3087        59.5885        10.0714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0314                 NaN
  56066.9        800.000        14.3025        59.5872        10.0703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0400                 NaN
  57581.9        800.000        14.3043        59.5856        10.0643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0458                 NaN
  59097.0        800.000        14.2851        59.5846        10.0668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0634                 NaN
  60612.0        800.000        14.2823        59.5832        10.0665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0680                 NaN
  62127.1        800.000        14.2807        59.5817        10.0644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0732                 NaN
  63642.1        800.000        14.2810        59.5802        10.0593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0794                 NaN
  65157.2        800.000        14.2814        59.5787        10.0543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0856                 NaN
  66672.2        800.000        14.2791        59.5773        10.0533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0903                 NaN
  68187.3        800.000        14.2764        59.5758        10.0530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0948                 NaN
  69702.3        800.000        14.2756        59.5744        10.0497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1003                 NaN
  71217.4        800.000        14.2790        59.5729        10.0400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1081                 NaN
  72732.4        800.000        14.2824        59.5714        10.0303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1160                 NaN
  74247.5        800.000        14.2860        59.5700        10.0227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1213                 NaN
  75762.5        800.000        14.2901        59.5689        10.0187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1223                 NaN
  77277.6        800.000        14.2994        59.5669        10.0026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1312                 NaN
  78792.6        800.000        14.3053        59.5654        9.99342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1359                 NaN
  80307.7        800.000        14.3112        59.5639        9.98424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1407                 NaN
  81822.7        800.000        14.3092        59.5631        9.98322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1444                 NaN
  83337.8        800.000        14.3194        59.5613        9.96963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1497                 NaN
  84852.8        800.000        14.3277        59.5596        9.95812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1546                 NaN
  86367.9        800.000        14.3350        59.5580        9.94758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1594                 NaN
  87882.9        800.000        14.3410        59.5566        9.93842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1640                 NaN
  89398.0        800.000        14.3496        59.5550        9.92652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1689                 NaN
  90913.0        800.000        14.3598        59.5534        9.91294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1738                 NaN
  92428.1        800.000        14.3691        59.5519        9.90041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1786                 NaN
  93943.1        800.000        14.3804        59.5503        9.88577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1836                 NaN
  95458.2        800.000        14.3906        59.5487        9.87219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1884                 NaN
  96973.2        800.000        14.3965        59.5473        9.86343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1928                 NaN
  98488.3        800.000        14.3985        59.5458        9.85876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1969                 NaN
  100003.        800.000        14.4006        59.5444        9.85410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2009                 NaN
  101518.        800.000        14.4193        59.5428        9.83161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2063                 NaN
  103033.        800.000        14.4380        59.5411        9.80917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2117                 NaN
  104548.        800.000        14.4548        59.5396        9.78879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2168                 NaN
  106064.        800.000        14.4644        59.5384        9.77611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2211                 NaN
  107579.        800.000        14.4840        59.5366        9.75281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2266                 NaN
  109094.        800.000        14.4986        59.5351        9.73482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2314                 NaN
  110609.        800.000        14.5133        59.5336        9.71684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2362                 NaN
  112124.        800.000        14.5278        59.5324        9.69879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2410                 NaN
  113639.        800.000        14.5425        59.5308        9.68084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2458                 NaN
  115154.        800.000        14.5573        59.5292        9.66290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2506                 NaN
  116669.        800.000        14.5719        59.5278        9.64492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2554                 NaN
  118184.        800.000        14.5865        59.5264        9.62694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2601                 NaN
  119699.        800.000        14.6037        59.5250        9.60623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2650                 NaN
  121214.        800.000        14.6268        59.5235        9.57938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2703                 NaN
  122729.        800.000        14.6499        59.5220        9.55253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2756                 NaN
  124244.        800.000        14.6634        59.5205        9.53597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2801                 NaN
  125759.        800.000        14.6740        59.5191        9.52247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2844                 NaN
  127274.        800.000        14.6865        59.5178        9.50691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2888                 NaN
  128789.        800.000        14.7055        59.5164        9.48450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2936                 NaN
  130304.        800.000        14.7245        59.5151        9.46209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.2984                 NaN
  131819.        800.000        14.7300        59.5137        9.45404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.3023                 NaN
  133334.        800.000        14.7448        59.5123        9.43609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.3068                 NaN
  134849.        800.000        14.7887        59.5107        9.38731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.3133                 NaN
  136365.        800.000                 NaN   70.6622        9.31493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.4543        3.56857     
  137880.        800.000                 NaN   70.9037        8.96741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.4807        3.64811     
  139395.        800.000                 NaN   71.1675        8.58814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.5094        3.73488     
  140910.        800.000                 NaN   71.4944        8.12019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.5438        3.84165     
  142425.        800.000                 NaN   71.7025        7.81934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.5672        3.91089     
  143940.        800.000                 NaN   72.0718        7.29132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.6055        4.03135     
  145455.        800.000                 NaN   72.3567        6.88223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.6360        4.12511     
  146970.        800.000                 NaN   72.6702        6.43294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.6688        4.22798     
  148485.        800.000                 NaN   72.9977        5.96425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.7028        4.33529     
  150000.        800.000                 NaN   73.3252        5.49538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.7366        4.44272     
  10.0000        814.141        18.7797        63.4287        4.16331        1.25915        12.3691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        814.141        19.1596        63.2464        4.55005        1.17446        11.8695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        814.141        19.6333        63.0165        5.03085        1.05952        11.2598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        814.141        27.9710        54.8328        13.3684       0.575547E-001            NaN            NaN            NaN            NaN            NaN            NaN   3.77025                 NaN            NaN            NaN
  6070.20        814.141        28.0051        54.7938        13.4061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.79503                 NaN            NaN            NaN
  7585.25        814.141        27.9999        54.7713        13.4074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.82141                 NaN            NaN            NaN
  9100.30        814.141        27.9942        54.7544        13.4087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.84270                 NaN            NaN            NaN
  10615.4        814.141        27.9894        54.7285        13.4100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.87209                 NaN            NaN            NaN
  12130.4        814.141        24.1096        56.4075        12.5037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   2.51057                 NaN   4.46859                 NaN
  13645.5        814.141        16.7200        59.5026        10.8158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   12.9616                 NaN
  15160.5        814.141        16.3754        59.5224        10.6578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.4444                 NaN
  16675.6        814.141        16.0558        59.5392        10.5482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.8569                 NaN
  18190.6        814.141        15.8311        59.5499        10.4901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.1288                 NaN
  19705.7        814.141        15.9664        59.5403        10.5741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.9193                 NaN
  21220.7        814.141        15.6692        59.5551        10.4822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.2935                 NaN
  22735.8        814.141        15.1886        59.5798        10.3174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.9142                 NaN
  24250.8        814.141        15.0631        59.5853        10.2731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.0785                 NaN
  25765.9        814.141        14.9715        59.5890        10.2404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.1992                 NaN
  27280.9        814.141        14.9090        59.5909        10.2181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.2820                 NaN
  28796.0        814.141        14.8456        59.5929        10.1895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.3719                 NaN
  30311.0        814.141        14.7098        59.5983        10.1579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.5340                 NaN
  31826.1        814.141        14.6486        59.5998        10.1405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.6110                 NaN
  33341.1        814.141        14.5951        59.6010        10.1236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.6803                 NaN
  34856.2        814.141        14.5756        59.6004        10.1146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.7094                 NaN
  36371.2        814.141        14.5215        59.6016        10.1009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.7759                 NaN
  37886.3        814.141        14.5139        59.6001        10.1190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.7669                 NaN
  39401.3        814.141        14.4607        59.6012        10.1021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.8359                 NaN
  40916.4        814.141        14.4407        59.6008        10.0901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.8684                 NaN
  42431.4        814.141        14.3972        59.6013        10.0891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9124                 NaN
  43946.5        814.141        14.3825        59.6002        10.0915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9258                 NaN
  45461.5        814.141        14.3634        59.5995        10.0875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9497                 NaN
  46976.6        814.141        14.3477        59.5985        10.0896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9642                 NaN
  48491.6        814.141        14.3354        59.5974        10.0872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9800                 NaN
  50006.7        814.141        14.3274        59.5961        10.0884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.9881                 NaN
  51521.7        814.141        14.3151        59.5953        10.0833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0063                 NaN
  53036.8        814.141        14.3138        59.5933        10.0857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0073                 NaN
  54551.8        814.141        14.3047        59.5927        10.0788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0239                 NaN
  56066.9        814.141        14.2953        59.5915        10.0783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0349                 NaN
  57581.9        814.141        14.2979        59.5899        10.0711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0412                 NaN
  59097.0        814.141        14.2780        59.5888        10.0814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0517                 NaN
  60612.0        814.141        14.2731        59.5876        10.0754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0638                 NaN
  62127.1        814.141        14.2715        59.5862        10.0733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0690                 NaN
  63642.1        814.141        14.2718        59.5847        10.0682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0753                 NaN
  65157.2        814.141        14.2734        59.5832        10.0634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0800                 NaN
  66672.2        814.141        14.2711        59.5817        10.0624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0848                 NaN
  68187.3        814.141        14.2714        59.5803        10.0574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0910                 NaN
  69702.3        814.141        14.2706        59.5788        10.0541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.0965                 NaN
  71217.4        814.141        14.2740        59.5773        10.0444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1043                 NaN
  72732.4        814.141        14.2798        59.5759        10.0352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1091                 NaN
  74247.5        814.141        14.2850        59.5743        10.0247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1159                 NaN
  75762.5        814.141        14.2887        59.5729        10.0162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1222                 NaN
  77277.6        814.141        14.2947        59.5715        10.0066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1272                 NaN
  78792.6        814.141        14.3023        59.5699        9.99558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1322                 NaN
  80307.7        814.141        14.2993        59.5691        9.99618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1354                 NaN
  81822.7        814.141        14.3085        59.5673        9.98318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1410                 NaN
  83337.8        814.141        14.3144        59.5659        9.97400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1457                 NaN
  84852.8        814.141        14.3240        59.5641        9.96111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1508                 NaN
  86367.9        814.141        14.3300        59.5627        9.95194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1554                 NaN
  87882.9        814.141        14.3360        59.5611        9.94279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1601                 NaN
  89398.0        814.141        14.3446        59.5596        9.93089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1649                 NaN
  90913.0        814.141        14.3548        59.5582        9.91729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1697                 NaN
  92428.1        814.141        14.3651        59.5566        9.90371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   16.1747                 NaN
