|6.6.6
peridotite_hpha02_1.tab                                                                             
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10.0000        800.000        3213.43        7.75096        4.44598     
  1525.05        800.000        3221.15        7.77658        4.46257     
  3040.10        800.000        3230.31        7.80652        4.48158     
  4555.15        800.000        3312.14        8.00649        4.65730     
  6070.20        800.000        3316.92        8.02315        4.66356     
  7585.25        800.000        3321.35        8.03855        4.66897     
  9100.30        800.000        3325.75        8.05385        4.67436     
  10615.4        800.000        3330.13        8.06908        4.67974     
  12130.4        800.000        3342.80        8.11260        4.69737     
  13645.5        800.000        3370.72        8.20736        4.73581     
  15160.5        800.000        3375.52        8.22338        4.74248     
  16675.6        800.000        3380.53        8.23984        4.74891     
  18190.6        800.000        3385.51        8.25620        4.75531     
  19705.7        800.000        3390.47        8.27246        4.76169     
  21220.7        800.000        3394.84        8.28659        4.76700     
  22735.8        800.000        3400.34        8.30478        4.77442     
  24250.8        800.000        3404.78        8.31920        4.78000     
  25765.9        800.000        3409.11        8.33324        4.78542     
  27280.9        800.000        3413.32        8.34686        4.79084     
  28796.0        800.000        3417.57        8.36066        4.79623     
  30311.0        800.000        3421.81        8.37440        4.80162     
  31826.1        800.000        3426.18        8.38853        4.80696     
  33341.1        800.000        3430.31        8.40191        4.81233     
  34856.2        800.000        3434.40        8.41513        4.81761     
  36371.2        800.000        3438.46        8.42821        4.82281     
  37886.3        800.000        3442.43        8.44092        4.82777     
  39401.3        800.000        3446.44        8.45391        4.83298     
  40916.4        800.000        3450.43        8.46674        4.83806     
  42431.4        800.000        3454.48        8.47980        4.84330     
  43946.5        800.000        3458.40        8.49244        4.84831     
  45461.5        800.000        3462.30        8.50501        4.85330     
  46976.6        800.000        3466.20        8.51756        4.85829     
  48491.6        800.000        3470.08        8.53008        4.86328     
  50006.7        800.000        3473.96        8.54256        4.86827     
  51521.7        800.000        3477.81        8.55496        4.87326     
  53036.8        800.000        3481.64        8.56729        4.87825     
  54551.8        800.000        3485.45        8.57959        4.88312     
  56066.9        800.000        3489.26        8.59186        4.88805     
  57581.9        800.000        3493.04        8.60407        4.89296     
  59097.0        800.000        3496.86        8.61638        4.89799     
  60612.0        800.000        3500.61        8.62850        4.90284     
  62127.1        800.000        3504.35        8.64060        4.90770     
  63642.1        800.000        3508.09        8.65269        4.91258     
  65157.2        800.000        3511.82        8.66474        4.91745     
  66672.2        800.000        3515.53        8.67677        4.92234     
  68187.3        800.000        3519.24        8.68877        4.92722     
  69702.3        800.000        3522.93        8.70074        4.93210     
  71217.4        800.000        3526.61        8.71269        4.93695     
  72732.4        800.000        3530.28        8.72460        4.94180     
  74247.5        800.000        3533.94        8.73647        4.94664     
  75762.5        800.000        3537.58        8.74830        4.95148     
  77277.6        800.000        3541.22        8.76012        4.95629     
  78792.6        800.000        3544.84        8.77191        4.96111     
  80307.7        800.000        3548.45        8.78366        4.96592     
  81822.7        800.000        3552.05        8.79538        4.97073     
  83337.8        800.000        3555.64        8.80708        4.97552     
  84852.8        800.000        3559.21        8.81872        4.98027     
  86367.9        800.000        3562.79        8.83037        4.98508     
  87882.9        800.000        3566.34        8.84198        4.98985     
  89398.0        800.000        3569.89        8.85357        4.99463     
  90913.0        800.000        3573.44        8.86514        4.99942     
  92428.1        800.000        3576.96        8.87667        5.00418     
  93943.1        800.000        3580.49        8.88820        5.00896     
  95458.2        800.000        3584.00        8.89968        5.01371     
  96973.2        800.000        3587.49        8.91112        5.01842     
  98488.3        800.000        3590.97        8.92250        5.02310     
  100003.        800.000        3594.44        8.93386        5.02776     
  101518.        800.000        3597.92        8.94527        5.03253     
  103033.        800.000        3601.38        8.95666        5.03729     
  104548.        800.000        3604.83        8.96801        5.04201     
  106064.        800.000        3608.26        8.97928        5.04665     
  107579.        800.000        3611.70        8.99060        5.05140     
  109094.        800.000        3615.12        9.00186        5.05608     
  110609.        800.000        3618.53        9.01309        5.06076     
  112124.        800.000        3621.93        9.02430        5.06541     
  113639.        800.000        3625.32        9.03548        5.07007     
  115154.        800.000        3628.71        9.04664        5.07473     
  116669.        800.000        3632.08        9.05778        5.07938     
  118184.        800.000        3635.45        9.06890        5.08403     
  119699.        800.000        3638.80        9.07999        5.08866     
  121214.        800.000        3642.14        9.09103        5.09325     
  122729.        800.000        3645.48        9.10205        5.09784     
  124244.        800.000        3648.81        9.11309        5.10247     
  125759.        800.000        3652.13        9.12411        5.10710     
  127274.        800.000        3655.45        9.13511        5.11172     
  128789.        800.000        3658.75        9.14607        5.11630     
  130304.        800.000        3662.04        9.15700        5.12087     
  131819.        800.000        3665.32        9.16787        5.12542     
  133334.        800.000        3668.60        9.17874        5.12998     
  134849.        800.000        3671.88        9.18971        5.13461     
  136365.        800.000        3704.83        9.27793        5.21178     
  137880.        800.000        3708.68        9.29057        5.21821     
  139395.        800.000        3712.59        9.30343        5.22483     
