|6.6.6
peridotite_hpha02_2.tab                                                                             
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          18
P(bar)         T(K)           Opx(HP)        O(HP)          Cpx(HP)        ab             an             abh            abL            diL            anL            enL            foGL           faL            Sp(HP)         faGL           Gt(HP)         stv           
  10.0000        800.000        18.7595        63.4356        4.14182        1.26054        12.4026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        19.1121        63.2669        4.50096        1.18205        11.9380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        19.6058        63.0272        5.00167        1.06114        11.3042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        27.9836        54.7359        13.3771       0.485668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.85490                 NaN            NaN            NaN
  6070.20        800.000        28.0111        54.7011        13.4091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.87871                 NaN            NaN            NaN
  7585.25        800.000        28.0057        54.6768        13.4106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.90694                 NaN            NaN            NaN
  9100.30        800.000        28.0004        54.6582        13.4118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.92948                 NaN            NaN            NaN
  10615.4        800.000        27.9953        54.6369        13.4131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   3.95474                 NaN            NaN            NaN
  12130.4        800.000        25.0578        55.9110        12.7100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   2.92288                 NaN   3.39833                 NaN
  13645.5        800.000        16.5045        59.5086        10.8419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.1451                 NaN
  15160.5        800.000        16.4144        59.5159        10.6984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.3713                 NaN
  16675.6        800.000        16.1654        59.5288        10.6123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   13.6935                 NaN
  18190.6        800.000        15.9163        59.5415        10.5261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.0160                 NaN
  19705.7        800.000        15.6672        59.5540        10.4399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.3388                 NaN
  21220.7        800.000        15.5528        59.5577        10.4508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.4387                 NaN
  22735.8        800.000        15.1576        59.5791        10.2646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   14.9987                 NaN
  24250.8        800.000        15.0336        59.5839        10.2403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.1421                 NaN
  25765.9        800.000        14.9317        59.5873        10.2305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.2505                 NaN
  27280.9        800.000        14.9037        59.5880        10.1963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.3120                 NaN
  28796.0        800.000        14.8284        59.5904        10.1777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   15.4035                 NaN
