|6.6.6
peridotite_stx11_1.tab                                                                              
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10.0000        800.000        3178.53        7.09252        3.54004     
  1525.05        800.000        3223.02        7.77778        4.46288     
  3040.10        800.000        3228.40        7.79545        4.46910     
  4555.15        800.000        3234.66        7.81517        4.47711     
  6070.20        800.000        3246.06        7.85155        4.49586     
  7585.25        800.000        3349.10        8.10166        4.68333     
  9100.30        800.000        3372.90        8.17597        4.70515     
  10615.4        800.000        3377.28        8.19084        4.70939     
  12130.4        800.000        3381.58        8.20545        4.71359     
  13645.5        800.000        3385.84        8.21979        4.71777     
  15160.5        800.000        3390.12        8.23426        4.72198     
  16675.6        800.000        3394.26        8.24819        4.72612     
  18190.6        800.000        3398.52        8.26252        4.73024     
  19705.7        800.000        3402.69        8.27647        4.73432     
  21220.7        800.000        3406.80        8.29020        4.73836     
  22735.8        800.000        3410.97        8.30419        4.74244     
  24250.8        800.000        3415.02        8.31765        4.74640     
  25765.9        800.000        3419.04        8.33097        4.75032     
  27280.9        800.000        3423.05        8.34439        4.75450     
  28796.0        800.000        3427.03        8.35762        4.75847     
  30311.0        800.000        3431.00        8.37077        4.76242     
  31826.1        800.000        3434.95        8.38360        4.76598     
  33341.1        800.000        3438.88        8.39673        4.77009     
  34856.2        800.000        3442.79        8.40974        4.77413     
  36371.2        800.000        3446.67        8.42244        4.77780     
  37886.3        800.000        3450.53        8.43479        4.78109     
  39401.3        800.000        3454.41        8.44782        4.78540     
  40916.4        800.000        3458.25        8.46037        4.78911     
  42431.4        800.000        3462.04        8.47253        4.79232     
  43946.5        800.000        3465.86        8.48508        4.79620     
  45461.5        800.000        3469.66        8.49755        4.80004     
  46976.6        800.000        3473.43        8.50986        4.80374     
  48491.6        800.000        3477.15        8.52202        4.80732     
  50006.7        800.000        3480.87        8.53412        4.81088     
  51521.7        800.000        3484.59        8.54620        4.81443     
  53036.8        800.000        3488.33        8.55825        4.81797     
  54551.8        800.000        3492.01        8.57025        4.82158     
  56066.9        800.000        3495.69        8.58217        4.82511     
  57581.9        800.000        3499.36        8.59407        4.82867     
  59097.0        800.000        3503.01        8.60575        4.83200     
  60612.0        800.000        3506.65        8.61755        4.83554     
  62127.1        800.000        3510.28        8.62928        4.83906     
  63642.1        800.000        3513.89        8.64093        4.84253     
  65157.2        800.000        3517.50        8.65257        4.84602     
  66672.2        800.000        3521.08        8.66414        4.84947     
  68187.3        800.000        3529.32        8.69348        4.87050     
