|6.6.6
peridotite_stx11_2.tab                                                                              
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
          18
P(bar)         T(K)           O              Cpx            Cpx            ab             an             q              Opx            Sp             Gt             Gt             ky             cor            c2/c           Ring           Wad            st            
  10.0000        800.000        75.4412        3.58064                 NaN   1.18330        13.1215        6.67338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.05        800.000        63.5810        3.68619                 NaN   1.11453        13.1552                 NaN   18.4630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3040.10        800.000        63.5543        3.77650                 NaN   1.04267        13.1036                 NaN   18.5229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4555.15        800.000        63.4802        3.96216                 NaN  0.885219        12.9961                 NaN   18.6763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6070.20        800.000        63.1633        4.12837        1.02681                 NaN   12.8554                 NaN   18.8261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7585.25        800.000        63.1703        12.7461                 NaN            NaN            NaN            NaN   15.1018                 NaN   5.01603                 NaN   3.96570                 NaN            NaN            NaN            NaN            NaN
  9100.30        800.000        59.5202        11.0210                 NaN            NaN            NaN            NaN   13.9377                 NaN   15.5212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10615.4        800.000        59.5230        11.0616                 NaN            NaN            NaN            NaN   13.8332                 NaN   15.5822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12130.4        800.000        59.5252        11.0809                 NaN            NaN            NaN            NaN   13.7592                 NaN   15.6347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13645.5        800.000        59.5263        11.1278                 NaN            NaN            NaN            NaN   13.6811                 NaN   15.6648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15160.5        800.000        59.5286        11.1615                 NaN            NaN            NaN            NaN   13.5952                 NaN   15.7148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16675.6        800.000        59.5290        11.1915                 NaN            NaN            NaN            NaN   13.5567                 NaN   15.7228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18190.6        800.000        59.5312        11.2284                 NaN            NaN            NaN            NaN   13.4573                 NaN   15.7831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19705.7        800.000        59.5312        11.2498                 NaN            NaN            NaN            NaN   13.3962                 NaN   15.8227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  21220.7        800.000        59.5315        11.2811                 NaN            NaN            NaN            NaN   13.3440                 NaN   15.8434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  22735.8        800.000        59.5344        11.3286                 NaN            NaN            NaN            NaN   13.2497                 NaN   15.8873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  24250.8        800.000        59.5341        11.3593                 NaN            NaN            NaN            NaN   13.2049                 NaN   15.9017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  25765.9        800.000        59.5334        11.3889                 NaN            NaN            NaN            NaN   13.1650                 NaN   15.9127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  27280.9        800.000        59.5319        11.3932                 NaN            NaN            NaN            NaN   13.1524                 NaN   15.9225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  28796.0        800.000        59.5309        11.4137                 NaN            NaN            NaN            NaN   13.1225                 NaN   15.9330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  30311.0        800.000        59.5297        11.4342                 NaN            NaN            NaN            NaN   13.0926                 NaN   15.9434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  31826.1        800.000        59.5296        11.4883                 NaN            NaN            NaN            NaN   13.0266                 NaN   15.9555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  33341.1        800.000        59.5278        11.4906                 NaN            NaN            NaN            NaN   13.0166                 NaN   15.9649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  34856.2        800.000        59.5262        11.4924                 NaN            NaN            NaN            NaN   13.0079                 NaN   15.9735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  36371.2        800.000        59.5257        11.5384                 NaN            NaN            NaN            NaN   12.9576                 NaN   15.9783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  37886.3        800.000        59.5265        11.6141                 NaN            NaN            NaN            NaN   12.8811                 NaN   15.9784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  39401.3        800.000        59.5229        11.6013                 NaN            NaN            NaN            NaN   12.8873                 NaN   15.9885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  40916.4        800.000        59.5218        11.6357                 NaN            NaN            NaN            NaN   12.8492                 NaN   15.9933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  42431.4        800.000        59.5232        11.6932                 NaN            NaN            NaN            NaN   12.7870                 NaN   15.9966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
